LANGUAGE,GLOTTOCODE,CONCEPT,COGNATE
Norwegian,norw1258,AND,and_i
Nuorese,nuor1238,AND,and_f
Old_Church_Slavic,chur1257,AND,and_h
Old_English,olde1238,AND,and_b
Old_High_German,oldh1241,AND,and_b
Old_Irish,oldi1246,AND,and_g
Old_Prussian,prus1238,AND,and_0
Old_West_Norse,oldw1240,AND,and_i
Oriya,oriy1255,AND,and_a
Panjabi,panj1256,AND,and_l
Pashto,pash1269,AND,and_e
Persian,west2369,AND,and_e
Polish,poli1260,AND,and_h
Portuguese,port1283,AND,and_f
Provencal,prov1235,AND,and_f
Romani,roma1329,AND,and_l
Romanian,megl1237,AND,and_0
Romanian,megl1237,AND,and_m
Romansh,roma1326,AND,and_f
Russian,russ1263,AND,and_h
Sariqoli,sari1246,AND,and_0
Scots_Gaelic,scot1245,AND,and_g
Serbian,sout1528,AND,and_h
Shughni,shug1248,AND,and_0
Sindhi,sind1272,AND,and_0
Sindhi,sind1272,AND,and_a
Singhalese,sinh1246,AND,and_0
Slovak,slov1269,AND,and_h
Slovenian,slov1268,AND,and_0
Sogdian,sogd1245,AND,and_o
Spanish,stan1288,AND,and_f
Swedish,swed1254,AND,and_i
Swiss_German,swis1247,AND,and_b
Tajik,taji1245,AND,and_e
Tocharian_A,tokh1242,AND,and_o
Tocharian_B,tokh1243,AND,and_0
Tosk,alba1268,AND,and_c
Ukrainian,ukra1253,AND,and_0
Ukrainian,ukra1253,AND,and_h
Upper_Sorbian,uppe1395,AND,and_h
Urdu,urdu1245,AND,and_a
Vedic_Sanskrit,sans1269,AND,and_o
Wakhi,wakh1245,AND,and_0
Walloon,wall1255,AND,and_f
Waziri,waci1238,AND,and_e
Welsh,wels1247,AND,and_g
Zazaki,kirm1248,AND,and_0
Adapazar,homs1234,ANIMAL,animal_o
Afrikaans,afri1274,ANIMAL,animal_a
Ancient_Greek,anci1242,ANIMAL,animal_g
Ancient_Greek,anci1242,ANIMAL,animal_h
Arvanitika,arva1236,ANIMAL,animal_c
Assamese,assa1263,ANIMAL,animal_f
Assamese,assa1263,ANIMAL,animal_p
Baluchi,east2304,ANIMAL,animal_d
Belarusian,bela1254,ANIMAL,animal_h
Bengali,beng1280,ANIMAL,animal_d
Bihari,biha1245,ANIMAL,animal_d
Breton,bret1244,ANIMAL,animal_f
Breton,bret1244,ANIMAL,animal_m
Bulgarian,bulg1262,ANIMAL,animal_g
Cagliari,sard1257,ANIMAL,animal_f
Catalan,stan1289,ANIMAL,animal_f
Classical_Armenian,clas1256,ANIMAL,animal_o
Cornish,corn1251,ANIMAL,animal_f
Cornish,corn1251,ANIMAL,animal_i
Czech,czec1258,ANIMAL,animal_h
Danish,dani1285,ANIMAL,animal_a
Digor_Ossetic,digo1242,ANIMAL,animal_e
Dutch,cent2352,ANIMAL,animal_a
Eastern_Armenian,nucl1235,ANIMAL,animal_0
English,stan1293,ANIMAL,animal_f
Faroese,faro1244,ANIMAL,animal_a
Flemish,cent2353,ANIMAL,animal_a
Flemish,cent2353,ANIMAL,animal_i
French,stan1290,ANIMAL,animal_f
Frisian,fris1239,ANIMAL,animal_a
Frisian,fris1239,ANIMAL,animal_i
Friulian,friu1240,ANIMAL,animal_f
German,stan1295,ANIMAL,animal_a
Gothic,goth1244,ANIMAL,animal_a
Gujarati,guja1252,ANIMAL,animal_d
Gujarati,guja1252,ANIMAL,animal_f
Hindi,hind1269,ANIMAL,animal_d
Hittite,hitt1242,ANIMAL,animal_0
Hittite,hitt1242,ANIMAL,animal_n
Icelandic,icel1247,ANIMAL,animal_a
Irish,iris1253,ANIMAL,animal_f
Italian,ital1282,ANIMAL,animal_f
Kashmiri,kash1277,ANIMAL,animal_d
Ladin,ladi1250,ANIMAL,animal_f
Lahnda,lahn1241,ANIMAL,animal_d
Latin,lati1261,ANIMAL,animal_f
Latin,lati1261,ANIMAL,animal_i
Latvian,latv1249,ANIMAL,animal_0
Latvian,latv1249,ANIMAL,animal_g
Latvian,latv1249,ANIMAL,animal_h
Lithuanian,lith1251,ANIMAL,animal_g
Lithuanian,lith1251,ANIMAL,animal_h
Lower_Sorbian,lowe1385,ANIMAL,animal_h
Luxembourgish,luxe1243,ANIMAL,animal_a
Macedonian,mace1250,ANIMAL,animal_h
Marathi,mara1378,ANIMAL,animal_d
Marathi,mara1378,ANIMAL,animal_f
Marwari,marw1260,ANIMAL,animal_d
Modern_Greek,mode1248,ANIMAL,animal_g
Nepali,nepa1254,ANIMAL,animal_d
Nepali,nepa1254,ANIMAL,animal_k
Norwegian,norw1258,ANIMAL,animal_a
Nuorese,nuor1238,ANIMAL,animal_f
Old_Church_Slavic,chur1257,ANIMAL,animal_g
Old_Church_Slavic,chur1257,ANIMAL,animal_h
Old_English,olde1238,ANIMAL,animal_a
Old_High_German,oldh1241,ANIMAL,animal_a
Old_Irish,oldi1246,ANIMAL,animal_f
Old_Prussian,prus1238,ANIMAL,animal_f
Old_Prussian,prus1238,ANIMAL,animal_h
Old_West_Norse,oldw1240,ANIMAL,animal_a
Oriya,oriy1255,ANIMAL,animal_f
Oriya,oriy1255,ANIMAL,animal_k
Oriya,oriy1255,ANIMAL,animal_p
Panjabi,panj1256,ANIMAL,animal_d
Pashto,pash1269,ANIMAL,animal_j
Persian,west2369,ANIMAL,animal_d
Persian,west2369,ANIMAL,animal_j
Polish,poli1260,ANIMAL,animal_h
Portuguese,port1283,ANIMAL,animal_f
Provencal,prov1235,ANIMAL,animal_f
Romanian,megl1237,ANIMAL,animal_f
Romansh,roma1326,ANIMAL,animal_f
Russian,russ1263,ANIMAL,animal_g
Sariqoli,sari1246,ANIMAL,animal_d
Sariqoli,sari1246,ANIMAL,animal_j
Scots_Gaelic,scot1245,ANIMAL,animal_f
Serbian,sout1528,ANIMAL,animal_g
Shughni,shug1248,ANIMAL,animal_j
Sindhi,sind1272,ANIMAL,animal_d
Singhalese,sinh1246,ANIMAL,animal_0
Slovak,slov1269,ANIMAL,animal_h
Slovenian,slov1268,ANIMAL,animal_g
Sogdian,sogd1245,ANIMAL,animal_b
Spanish,stan1288,ANIMAL,animal_f
Swedish,swed1254,ANIMAL,animal_a
Swiss_German,swis1247,ANIMAL,animal_a
Tajik,taji1245,ANIMAL,animal_d
Tajik,taji1245,ANIMAL,animal_j
Tocharian_A,tokh1242,ANIMAL,animal_l
Tocharian_B,tokh1243,ANIMAL,animal_l
Tosk,alba1268,ANIMAL,animal_c
Ukrainian,ukra1253,ANIMAL,animal_0
Upper_Sorbian,uppe1395,ANIMAL,animal_h
Urdu,urdu1245,ANIMAL,animal_d
Vedic_Sanskrit,sans1269,ANIMAL,animal_0
