LANGUAGE,GLOTTOCODE,CONCEPT,COGNATE
Persian,west2369,EARTH (SOIL),earth_c
Polish,poli1260,EARTH (SOIL),earth_c
Portuguese,port1283,EARTH (SOIL),earth_0
Portuguese,port1283,EARTH (SOIL),earth_f
Portuguese,port1283,EARTH (SOIL),earth_o
Provencal,prov1235,EARTH (SOIL),earth_f
Romani,roma1329,EARTH (SOIL),earth_j
Romanian,megl1237,EARTH (SOIL),earth_0
Romansh,roma1326,EARTH (SOIL),earth_f
Russian,russ1263,EARTH (SOIL),earth_c
Sariqoli,sari1246,EARTH (SOIL),earth_c
Sariqoli,sari1246,EARTH (SOIL),earth_v
Scots_Gaelic,scot1245,EARTH (SOIL),earth_a
Serbian,sout1528,EARTH (SOIL),earth_0
Serbian,sout1528,EARTH (SOIL),earth_c
Shughni,shug1248,EARTH (SOIL),earth_c
Shughni,shug1248,EARTH (SOIL),earth_v
Sindhi,sind1272,EARTH (SOIL),earth_n
Sindhi,sind1272,EARTH (SOIL),earth_r
Singhalese,sinh1246,EARTH (SOIL),earth_0
Slovak,slov1269,EARTH (SOIL),earth_c
Slovak,slov1269,EARTH (SOIL),earth_p
Slovenian,slov1268,EARTH (SOIL),earth_c
Sogdian,sogd1245,EARTH (SOIL),earth_l
Spanish,stan1288,EARTH (SOIL),earth_f
Swedish,swed1254,EARTH (SOIL),earth_b
Swiss_German,swis1247,EARTH (SOIL),earth_b
Tajik,taji1245,EARTH (SOIL),earth_c
Tocharian_A,tokh1242,EARTH (SOIL),earth_c
Tocharian_B,tokh1243,EARTH (SOIL),earth_c
Tosk,alba1268,EARTH (SOIL),earth_0
Ukrainian,ukra1253,EARTH (SOIL),earth_0
Ukrainian,ukra1253,EARTH (SOIL),earth_c
Upper_Sorbian,uppe1395,EARTH (SOIL),earth_c
Urdu,urdu1245,EARTH (SOIL),earth_c
Vedic_Sanskrit,sans1269,EARTH (SOIL),earth_c
Wakhi,wakh1245,EARTH (SOIL),earth_k
Wakhi,wakh1245,EARTH (SOIL),earth_v
Walloon,wall1255,EARTH (SOIL),earth_f
Waziri,waci1238,EARTH (SOIL),earth_x
Welsh,wels1247,EARTH (SOIL),earth_g
Welsh,wels1247,EARTH (SOIL),earth_q
Zazaki,kirm1248,EARTH (SOIL),earth_w
Adapazar,homs1234,EAT,eat_b
Afrikaans,afri1274,EAT,eat_b
Ancient_Greek,anci1242,EAT,eat_b
Arumanian,arom1237,EAT,eat_f
Arvanitika,arva1236,EAT,eat_b
Assamese,assa1263,EAT,eat_c
Avestan,aves1237,EAT,eat_a
Baluchi,east2304,EAT,eat_a
Belarusian,bela1254,EAT,eat_b
Bengali,beng1280,EAT,eat_c
Bihari,biha1245,EAT,eat_c
Breton,bret1244,EAT,eat_e
Bulgarian,bulg1262,EAT,eat_b
Cagliari,sard1257,EAT,eat_0
Catalan,stan1289,EAT,eat_f
Classical_Armenian,clas1256,EAT,eat_b
Cornish,corn1251,EAT,eat_e
Czech,czec1258,EAT,eat_b
Danish,dani1285,EAT,eat_g
Digor_Ossetic,digo1242,EAT,eat_a
Dutch,cent2352,EAT,eat_b
Eastern_Armenian,nucl1235,EAT,eat_b
English,stan1293,EAT,eat_b
Faroese,faro1244,EAT,eat_b
Flemish,cent2353,EAT,eat_b
French,stan1290,EAT,eat_f
Frisian,fris1239,EAT,eat_b
Friulian,friu1240,EAT,eat_f
German,stan1295,EAT,eat_b
Gothic,goth1244,EAT,eat_0
Gothic,goth1244,EAT,eat_b
Gujarati,guja1252,EAT,eat_c
Gujarati,guja1252,EAT,eat_n
Hindi,hind1269,EAT,eat_c
Hittite,hitt1242,EAT,eat_b
Icelandic,icel1247,EAT,eat_b
Irish,iris1253,EAT,eat_i
Italian,ital1282,EAT,eat_f
Kashmiri,kash1277,EAT,eat_c
Kurdish,kurd1259,EAT,eat_a
Ladin,ladi1250,EAT,eat_f
Lahnda,lahn1241,EAT,eat_c
Latin,lati1261,EAT,eat_b
Latvian,latv1249,EAT,eat_b
Lithuanian,lith1251,EAT,eat_k
Lower_Sorbian,lowe1385,EAT,eat_b
Luxembourgish,luxe1243,EAT,eat_b
Macedonian,mace1250,EAT,eat_b
Marathi,mara1378,EAT,eat_c
Marwari,marw1260,EAT,eat_c
Marwari,marw1260,EAT,eat_n
Modern_Greek,mode1248,EAT,eat_h
Nepali,nepa1254,EAT,eat_c
Norwegian,norw1258,EAT,eat_g
Nuorese,nuor1238,EAT,eat_f
Old_Church_Slavic,chur1257,EAT,eat_b
Old_English,olde1238,EAT,eat_b
Old_High_German,oldh1241,EAT,eat_b
Old_Irish,oldi1246,EAT,eat_i
Old_Prussian,prus1238,EAT,eat_b
Old_Prussian,prus1238,EAT,eat_k
Old_West_Norse,oldw1240,EAT,eat_b
Oriya,oriy1255,EAT,eat_c
Panjabi,panj1256,EAT,eat_c
Pashto,pash1269,EAT,eat_a
Persian,west2369,EAT,eat_a
Polish,poli1260,EAT,eat_b
Portuguese,port1283,EAT,eat_d
Provencal,prov1235,EAT,eat_f
Romani,roma1329,EAT,eat_c
Romanian,megl1237,EAT,eat_f
Romansh,roma1326,EAT,eat_0
Romansh,roma1326,EAT,eat_f
Russian,russ1263,EAT,eat_b
Sariqoli,sari1246,EAT,eat_a
Scots_Gaelic,scot1245,EAT,eat_0
Serbian,sout1528,EAT,eat_b
Shughni,shug1248,EAT,eat_a
Sindhi,sind1272,EAT,eat_c
Singhalese,sinh1246,EAT,eat_c
Slovak,slov1269,EAT,eat_b
Slovenian,slov1268,EAT,eat_b
Spanish,stan1288,EAT,eat_d
Swedish,swed1254,EAT,eat_b
Swiss_German,swis1247,EAT,eat_b
Tajik,taji1245,EAT,eat_a
Tocharian_A,tokh1242,EAT,eat_j
Tocharian_B,tokh1243,EAT,eat_j
Tosk,alba1268,EAT,eat_b
Ukrainian,ukra1253,EAT,eat_0
Ukrainian,ukra1253,EAT,eat_b
Upper_Sorbian,uppe1395,EAT,eat_b
Urdu,urdu1245,EAT,eat_c
Vedic_Sanskrit,sans1269,EAT,eat_b
Wakhi,wakh1245,EAT,eat_m
Walloon,wall1255,EAT,eat_f
Waziri,waci1238,EAT,eat_a
Welsh,wels1247,EAT,eat_l
Zazaki,kirm1248,EAT,eat_a
Adapazar,homs1234,EGG,egg_0
Afrikaans,afri1274,EGG,egg_a
Ancient_Greek,anci1242,EGG,egg_a
Arumanian,arom1237,EGG,egg_a
Arvanitika,arva1236,EGG,egg_a
Assamese,assa1263,EGG,egg_m
Avestan,aves1237,EGG,egg_a
Baluchi,east2304,EGG,egg_a
Belarusian,bela1254,EGG,egg_a
Bengali,beng1280,EGG,egg_c
Bihari,biha1245,EGG,egg_c
Breton,bret1244,EGG,egg_a
Bulgarian,bulg1262,EGG,egg_a
Cagliari,sard1257,EGG,egg_a
Catalan,stan1289,EGG,egg_a
Classical_Armenian,clas1256,EGG,egg_a
Cornish,corn1251,EGG,egg_a
Czech,czec1258,EGG,egg_a
Danish,dani1285,EGG,egg_a
Digor_Ossetic,digo1242,EGG,egg_a
Dutch,cent2352,EGG,egg_a
Eastern_Armenian,nucl1235,EGG,egg_a
English,stan1293,EGG,egg_a
Faroese,faro1244,EGG,egg_a
Flemish,cent2353,EGG,egg_a
French,stan1290,EGG,egg_a
Frisian,fris1239,EGG,egg_a
Friulian,friu1240,EGG,egg_a
German,stan1295,EGG,egg_a
Gothic,goth1244,EGG,egg_a
Gujarati,guja1252,EGG,egg_c
Hindi,hind1269,EGG,egg_c
Icelandic,icel1247,EGG,egg_a
Irish,iris1253,EGG,egg_a
Italian,ital1282,EGG,egg_a
Kashmiri,kash1277,EGG,egg_d
Kurdish,kurd1259,EGG,egg_a
Ladin,ladi1250,EGG,egg_a
Lahnda,lahn1241,EGG,egg_c
Latin,lati1261,EGG,egg_a
Latvian,latv1249,EGG,egg_g
Lithuanian,lith1251,EGG,egg_e
Lower_Sorbian,lowe1385,EGG,egg_a
Luxembourgish,luxe1243,EGG,egg_a
Macedonian,mace1250,EGG,egg_a
Marathi,mara1378,EGG,egg_c
Modern_Greek,mode1248,EGG,egg_a
Nepali,nepa1254,EGG,egg_d
Norwegian,norw1258,EGG,egg_a
Nuorese,nuor1238,EGG,egg_a
Old_Church_Slavic,chur1257,EGG,egg_a
Old_English,olde1238,EGG,egg_a
Old_High_German,oldh1241,EGG,egg_a
Old_Irish,oldi1246,EGG,egg_a
Old_Prussian,prus1238,EGG,egg_h
Old_West_Norse,oldw1240,EGG,egg_a
Oriya,oriy1255,EGG,egg_c
Panjabi,panj1256,EGG,egg_c
Pashto,pash1269,EGG,egg_a
Persian,west2369,EGG,egg_f
Polish,poli1260,EGG,egg_a
Portuguese,port1283,EGG,egg_a
Provencal,prov1235,EGG,egg_a
Romani,roma1329,EGG,egg_c
Romanian,megl1237,EGG,egg_a
Romansh,roma1326,EGG,egg_a
Russian,russ1263,EGG,egg_a
Sariqoli,sari1246,EGG,egg_f
Sariqoli,sari1246,EGG,egg_i
Scots_Gaelic,scot1245,EGG,egg_a
Serbian,sout1528,EGG,egg_a
Shughni,shug1248,EGG,egg_f
Shughni,shug1248,EGG,egg_j
Sindhi,sind1272,EGG,egg_c
Singhalese,sinh1246,EGG,egg_l
Slovak,slov1269,EGG,egg_a
Slovenian,slov1268,EGG,egg_a
Sogdian,sogd1245,EGG,egg_j
Spanish,stan1288,EGG,egg_a
Swedish,swed1254,EGG,egg_a
Swiss_German,swis1247,EGG,egg_a
Tajik,taji1245,EGG,egg_f
Tosk,alba1268,EGG,egg_a
Ukrainian,ukra1253,EGG,egg_a
Upper_Sorbian,uppe1395,EGG,egg_a
Urdu,urdu1245,EGG,egg_c
Vedic_Sanskrit,sans1269,EGG,egg_c
Wakhi,wakh1245,EGG,egg_f
Wakhi,wakh1245,EGG,egg_j
Walloon,wall1255,EGG,egg_a
Waziri,waci1238,EGG,egg_a
Welsh,wels1247,EGG,egg_a
Zazaki,kirm1248,EGG,egg_a
Adapazar,homs1234,EYE,eye_b
Afrikaans,afri1274,EYE,eye_b
Ancient_Greek,anci1242,EYE,eye_b
Arumanian,arom1237,EYE,eye_b
Arvanitika,arva1236,EYE,eye_b
Assamese,assa1263,EYE,eye_b
Avestan,aves1237,EYE,eye_d
Baluchi,east2304,EYE,eye_d
Belarusian,bela1254,EYE,eye_b
Bengali,beng1280,EYE,eye_d
Bihari,biha1245,EYE,eye_b
Breton,bret1244,EYE,eye_e
Bulgarian,bulg1262,EYE,eye_b
Cagliari,sard1257,EYE,eye_b
Catalan,stan1289,EYE,eye_b
Classical_Armenian,clas1256,EYE,eye_b
Cornish,corn1251,EYE,eye_e
Czech,czec1258,EYE,eye_b
Danish,dani1285,EYE,eye_b
Digor_Ossetic,digo1242,EYE,eye_d
Dutch,cent2352,EYE,eye_b
Eastern_Armenian,nucl1235,EYE,eye_b
English,stan1293,EYE,eye_b
Faroese,faro1244,EYE,eye_b
Flemish,cent2353,EYE,eye_b
French,stan1290,EYE,eye_b
Frisian,fris1239,EYE,eye_b
Friulian,friu1240,EYE,eye_b
German,stan1295,EYE,eye_b
Gothic,goth1244,EYE,eye_b
Gujarati,guja1252,EYE,eye_b
Hindi,hind1269,EYE,eye_b
Hittite,hitt1242,EYE,eye_i
Icelandic,icel1247,EYE,eye_b
Irish,iris1253,EYE,eye_f
Italian,ital1282,EYE,eye_b
Kashmiri,kash1277,EYE,eye_b
Kashmiri,kash1277,EYE,eye_k
Kurdish,kurd1259,EYE,eye_d
Ladin,ladi1250,EYE,eye_b
Lahnda,lahn1241,EYE,eye_b
Latin,lati1261,EYE,eye_b
Latvian,latv1249,EYE,eye_b
Lithuanian,lith1251,EYE,eye_b
Lower_Sorbian,lowe1385,EYE,eye_b
Luxembourgish,luxe1243,EYE,eye_b
Macedonian,mace1250,EYE,eye_b
Marathi,mara1378,EYE,eye_j
Marwari,marw1260,EYE,eye_b
Marwari,marw1260,EYE,eye_h
Modern_Greek,mode1248,EYE,eye_b
Nepali,nepa1254,EYE,eye_b
Norwegian,norw1258,EYE,eye_b
Nuorese,nuor1238,EYE,eye_b
Old_Church_Slavic,chur1257,EYE,eye_b
Old_English,olde1238,EYE,eye_b
Old_High_German,oldh1241,EYE,eye_b
Old_Irish,oldi1246,EYE,eye_f
Old_Prussian,prus1238,EYE,eye_b
Old_West_Norse,oldw1240,EYE,eye_b
Oriya,oriy1255,EYE,eye_b
Panjabi,panj1256,EYE,eye_b
Pashto,pash1269,EYE,eye_a
Persian,west2369,EYE,eye_d
Polish,poli1260,EYE,eye_b
Portuguese,port1283,EYE,eye_b
Provencal,prov1235,EYE,eye_b
Romani,roma1329,EYE,eye_b
Romanian,megl1237,EYE,eye_b
Romansh,roma1326,EYE,eye_b
Russian,russ1263,EYE,eye_g
Sariqoli,sari1246,EYE,eye_d
Scots_Gaelic,scot1245,EYE,eye_f
Serbian,sout1528,EYE,eye_b
Shughni,shug1248,EYE,eye_c
Shughni,shug1248,EYE,eye_d
Sindhi,sind1272,EYE,eye_b
Sindhi,sind1272,EYE,eye_h
Singhalese,sinh1246,EYE,eye_b
Slovak,slov1269,EYE,eye_b
Slovenian,slov1268,EYE,eye_b
Sogdian,sogd1245,EYE,eye_d
Spanish,stan1288,EYE,eye_b
Swedish,swed1254,EYE,eye_b
Swiss_German,swis1247,EYE,eye_b
Tajik,taji1245,EYE,eye_c
Tajik,taji1245,EYE,eye_d
Tocharian_A,tokh1242,EYE,eye_b
Tocharian_B,tokh1243,EYE,eye_b
Tosk,alba1268,EYE,eye_b
Ukrainian,ukra1253,EYE,eye_b
Upper_Sorbian,uppe1395,EYE,eye_b
Urdu,urdu1245,EYE,eye_b
Vedic_Sanskrit,sans1269,EYE,eye_b
Wakhi,wakh1245,EYE,eye_d
Walloon,wall1255,EYE,eye_b
Waziri,waci1238,EYE,eye_a
Welsh,wels1247,EYE,eye_e
Zazaki,kirm1248,EYE,eye_d
Adapazar,homs1234,FALL,fall_0
Afrikaans,afri1274,FALL,fall_b
Ancient_Greek,anci1242,FALL,fall_n
Arumanian,arom1237,FALL,fall_g
Arvanitika,arva1236,FALL,fall_c
Assamese,assa1263,FALL,fall_i
Avestan,aves1237,FALL,fall_i
Baluchi,east2304,FALL,fall_e
Belarusian,bela1254,FALL,fall_i
Bengali,beng1280,FALL,fall_i
Bihari,biha1245,FALL,fall_f
Breton,bret1244,FALL,fall_h
Bulgarian,bulg1262,FALL,fall_i
Cagliari,sard1257,FALL,fall_o
Catalan,stan1289,FALL,fall_g
Classical_Armenian,clas1256,FALL,fall_t
Cornish,corn1251,FALL,fall_h
Czech,czec1258,FALL,fall_i
Danish,dani1285,FALL,fall_b
Digor_Ossetic,digo1242,FALL,fall_m
Dutch,cent2352,FALL,fall_b
Eastern_Armenian,nucl1235,FALL,fall_t
English,stan1293,FALL,fall_b
Faroese,faro1244,FALL,fall_0
Faroese,faro1244,FALL,fall_b
Flemish,cent2353,FALL,fall_b
French,stan1290,FALL,fall_j
Frisian,fris1239,FALL,fall_b
Friulian,friu1240,FALL,fall_0
German,stan1295,FALL,fall_b
Gothic,goth1244,FALL,fall_0
Gujarati,guja1252,FALL,fall_i
Hindi,hind1269,FALL,fall_d
Hittite,hitt1242,FALL,fall_0
Icelandic,icel1247,FALL,fall_b
Irish,iris1253,FALL,fall_l
Italian,ital1282,FALL,fall_g
Kashmiri,kash1277,FALL,fall_i
Ladin,ladi1250,FALL,fall_g
Lahnda,lahn1241,FALL,fall_aa
Latin,lati1261,FALL,fall_g
Latvian,latv1249,FALL,fall_k
Lithuanian,lith1251,FALL,fall_b
Lithuanian,lith1251,FALL,fall_k
Lower_Sorbian,lowe1385,FALL,fall_i
Luxembourgish,luxe1243,FALL,fall_b
Macedonian,mace1250,FALL,fall_0
Marathi,mara1378,FALL,fall_i
Marwari,marw1260,FALL,fall_i
Marwari,marw1260,FALL,fall_z
Modern_Greek,mode1248,FALL,fall_n
Nepali,nepa1254,FALL,fall_d
Nepali,nepa1254,FALL,fall_i
Norwegian,norw1258,FALL,fall_b
Nuorese,nuor1238,FALL,fall_o
Old_Church_Slavic,chur1257,FALL,fall_i
Old_English,olde1238,FALL,fall_b
Old_High_German,oldh1241,FALL,fall_b
Old_Irish,oldi1246,FALL,fall_l
Old_Prussian,prus1238,FALL,fall_k
Old_West_Norse,oldw1240,FALL,fall_b
Oriya,oriy1255,FALL,fall_f
Oriya,oriy1255,FALL,fall_i
Oriya,oriy1255,FALL,fall_y
Panjabi,panj1256,FALL,fall_ab
Pashto,pash1269,FALL,fall_s
Persian,west2369,FALL,fall_n
Polish,poli1260,FALL,fall_i
Portuguese,port1283,FALL,fall_g
Provencal,prov1235,FALL,fall_j
Romani,roma1329,FALL,fall_i
Romanian,megl1237,FALL,fall_g
Romansh,roma1326,FALL,fall_g
Russian,russ1263,FALL,fall_i
Sariqoli,sari1246,FALL,fall_w
Scots_Gaelic,scot1245,FALL,fall_0
Scots_Gaelic,scot1245,FALL,fall_l
Serbian,sout1528,FALL,fall_i
Shughni,shug1248,FALL,fall_v
Sindhi,sind1272,FALL,fall_d
Sindhi,sind1272,FALL,fall_i
Singhalese,sinh1246,FALL,fall_ac
Slovak,slov1269,FALL,fall_i
Slovenian,slov1268,FALL,fall_i
Sogdian,sogd1245,FALL,fall_i
Spanish,stan1288,FALL,fall_g
Swedish,swed1254,FALL,fall_b
Swiss_German,swis1247,FALL,fall_0
Tajik,taji1245,FALL,fall_n
Tocharian_A,tokh1242,FALL,fall_r
Tocharian_B,tokh1243,FALL,fall_r
Tosk,alba1268,FALL,fall_c
Ukrainian,ukra1253,FALL,fall_i
Upper_Sorbian,uppe1395,FALL,fall_i
Urdu,urdu1245,FALL,fall_d
Vedic_Sanskrit,sans1269,FALL,fall_i
Wakhi,wakh1245,FALL,fall_p
Walloon,wall1255,FALL,fall_j
Waziri,waci1238,FALL,fall_a
Waziri,waci1238,FALL,fall_s
Welsh,wels1247,FALL,fall_0
Welsh,wels1247,FALL,fall_q
Zazaki,kirm1248,FALL,fall_e
Zazaki,kirm1248,FALL,fall_u
Adapazar,homs1234,FAR,far_b
Afrikaans,afri1274,FAR,far_b
Ancient_Greek,anci1242,FAR,far_0
Ancient_Greek,anci1242,FAR,far_b
Arumanian,arom1237,FAR,far_k
Arvanitika,arva1236,FAR,far_c
Assamese,assa1263,FAR,far_e
Avestan,aves1237,FAR,far_e
Baluchi,east2304,FAR,far_d
Baluchi,east2304,FAR,far_e
Belarusian,bela1254,FAR,far_d
Bengali,beng1280,FAR,far_e
Bihari,biha1245,FAR,far_e
Breton,bret1244,FAR,far_f
Bulgarian,bulg1262,FAR,far_d
Cagliari,sard1257,FAR,far_0
Catalan,stan1289,FAR,far_m
Classical_Armenian,clas1256,FAR,far_b
Cornish,corn1251,FAR,far_f
Czech,czec1258,FAR,far_d
Danish,dani1285,FAR,far_b
Digor_Ossetic,digo1242,FAR,far_q
Dutch,cent2352,FAR,far_b
Eastern_Armenian,nucl1235,FAR,far_b
English,stan1293,FAR,far_b
Faroese,faro1244,FAR,far_m
Flemish,cent2353,FAR,far_b
French,stan1290,FAR,far_m
Frisian,fris1239,FAR,far_b
Friulian,friu1240,FAR,far_m
German,stan1295,FAR,far_g
Gothic,goth1244,FAR,far_b
Gujarati,guja1252,FAR,far_e
Hindi,hind1269,FAR,far_e
Hittite,hitt1242,FAR,far_e
Icelandic,icel1247,FAR,far_m
Irish,iris1253,FAR,far_0
Italian,ital1282,FAR,far_m
Kashmiri,kash1277,FAR,far_e
Ladin,ladi1250,FAR,far_0
Lahnda,lahn1241,FAR,far_e
Latin,lati1261,FAR,far_b
Latin,lati1261,FAR,far_m
Latvian,latv1249,FAR,far_j
Lithuanian,lith1251,FAR,far_j
Lower_Sorbian,lowe1385,FAR,far_d
Luxembourgish,luxe1243,FAR,far_g
Macedonian,mace1250,FAR,far_d
Marathi,mara1378,FAR,far_e
Marwari,marw1260,FAR,far_e
Marwari,marw1260,FAR,far_i
Marwari,marw1260,FAR,far_r
Modern_Greek,mode1248,FAR,far_h
Nepali,nepa1254,FAR,far_e
Norwegian,norw1258,FAR,far_m
Nuorese,nuor1238,FAR,far_0
Old_Church_Slavic,chur1257,FAR,far_d
Old_English,olde1238,FAR,far_b
Old_High_German,oldh1241,FAR,far_b
Old_Irish,oldi1246,FAR,far_0
Old_West_Norse,oldw1240,FAR,far_b
Old_West_Norse,oldw1240,FAR,far_m
Oriya,oriy1255,FAR,far_e
Panjabi,panj1256,FAR,far_s
Pashto,pash1269,FAR,far_a
Pashto,pash1269,FAR,far_e
Persian,west2369,FAR,far_e
Polish,poli1260,FAR,far_d
Portuguese,port1283,FAR,far_0
Portuguese,port1283,FAR,far_m
Provencal,prov1235,FAR,far_m
Romani,roma1329,FAR,far_e
Romanian,megl1237,FAR,far_k
Romansh,roma1326,FAR,far_m
Russian,russ1263,FAR,far_d
Sariqoli,sari1246,FAR,far_e
Scots_Gaelic,scot1245,FAR,far_l
Serbian,sout1528,FAR,far_d
Shughni,shug1248,FAR,far_e
Singhalese,sinh1246,FAR,far_e
Slovak,slov1269,FAR,far_d
Slovenian,slov1268,FAR,far_d
Sogdian,sogd1245,FAR,far_e
Spanish,stan1288,FAR,far_n
Swedish,swed1254,FAR,far_b
Swiss_German,swis1247,FAR,far_g
Tajik,taji1245,FAR,far_e
Tocharian_A,tokh1242,FAR,far_p
Tocharian_B,tokh1243,FAR,far_p
Tosk,alba1268,FAR,far_c
Ukrainian,ukra1253,FAR,far_d
Upper_Sorbian,uppe1395,FAR,far_d
Urdu,urdu1245,FAR,far_e
Vedic_Sanskrit,sans1269,FAR,far_e
Wakhi,wakh1245,FAR,far_d
Wakhi,wakh1245,FAR,far_e
Walloon,wall1255,FAR,far_m
Waziri,waci1238,FAR,far_a
Waziri,waci1238,FAR,far_e
Welsh,wels1247,FAR,far_f
Zazaki,kirm1248,FAR,far_e
Adapazar,homs1234,FAT (ORGANIC SUBSTANCE),fat_a
Afrikaans,afri1274,FAT (ORGANIC SUBSTANCE),fat_b
Ancient_Greek,anci1242,FAT (ORGANIC SUBSTANCE),fat_0
Ancient_Greek,anci1242,FAT (ORGANIC SUBSTANCE),fat_c
Ancient_Greek,anci1242,FAT (ORGANIC SUBSTANCE),fat_j
Arumanian,arom1237,FAT (ORGANIC SUBSTANCE),fat_0
Arumanian,arom1237,FAT (ORGANIC SUBSTANCE),fat_i
Arvanitika,arva1236,FAT (ORGANIC SUBSTANCE),fat_0
Arvanitika,arva1236,FAT (ORGANIC SUBSTANCE),fat_c
Assamese,assa1263,FAT (ORGANIC SUBSTANCE),fat_s
Avestan,aves1237,FAT (ORGANIC SUBSTANCE),fat_x
Baluchi,east2304,FAT (ORGANIC SUBSTANCE),fat_aa
Belarusian,bela1254,FAT (ORGANIC SUBSTANCE),fat_h
Bengali,beng1280,FAT (ORGANIC SUBSTANCE),fat_d
Bengali,beng1280,FAT (ORGANIC SUBSTANCE),fat_q
Bihari,biha1245,FAT (ORGANIC SUBSTANCE),fat_q
Bihari,biha1245,FAT (ORGANIC SUBSTANCE),fat_s
Breton,bret1244,FAT (ORGANIC SUBSTANCE),fat_f
Bulgarian,bulg1262,FAT (ORGANIC SUBSTANCE),fat_h
Cagliari,sard1257,FAT (ORGANIC SUBSTANCE),fat_i
Catalan,stan1289,FAT (ORGANIC SUBSTANCE),fat_i
Classical_Armenian,clas1256,FAT (ORGANIC SUBSTANCE),fat_z
Cornish,corn1251,FAT (ORGANIC SUBSTANCE),fat_0
Cornish,corn1251,FAT (ORGANIC SUBSTANCE),fat_t
Czech,czec1258,FAT (ORGANIC SUBSTANCE),fat_h
Danish,dani1285,FAT (ORGANIC SUBSTANCE),fat_b
Digor_Ossetic,digo1242,FAT (ORGANIC SUBSTANCE),fat_w
Dutch,cent2352,FAT (ORGANIC SUBSTANCE),fat_b
Eastern_Armenian,nucl1235,FAT (ORGANIC SUBSTANCE),fat_z
English,stan1293,FAT (ORGANIC SUBSTANCE),fat_b
Faroese,faro1244,FAT (ORGANIC SUBSTANCE),fat_b
Flemish,cent2353,FAT (ORGANIC SUBSTANCE),fat_b
French,stan1290,FAT (ORGANIC SUBSTANCE),fat_i
Frisian,fris1239,FAT (ORGANIC SUBSTANCE),fat_b
Friulian,friu1240,FAT (ORGANIC SUBSTANCE),fat_i
German,stan1295,FAT (ORGANIC SUBSTANCE),fat_b
Gothic,goth1244,FAT (ORGANIC SUBSTANCE),fat_u
Gujarati,guja1252,FAT (ORGANIC SUBSTANCE),fat_d
Hindi,hind1269,FAT (ORGANIC SUBSTANCE),fat_d
Hittite,hitt1242,FAT (ORGANIC SUBSTANCE),fat_0
Icelandic,icel1247,FAT (ORGANIC SUBSTANCE),fat_b
Irish,iris1253,FAT (ORGANIC SUBSTANCE),fat_0
Italian,ital1282,FAT (ORGANIC SUBSTANCE),fat_i
Kashmiri,kash1277,FAT (ORGANIC SUBSTANCE),fat_af
Kashmiri,kash1277,FAT (ORGANIC SUBSTANCE),fat_d
Kurdish,kurd1259,FAT (ORGANIC SUBSTANCE),fat_ab
Ladin,ladi1250,FAT (ORGANIC SUBSTANCE),fat_0
Lahnda,lahn1241,FAT (ORGANIC SUBSTANCE),fat_q
Latin,lati1261,FAT (ORGANIC SUBSTANCE),fat_0
Latin,lati1261,FAT (ORGANIC SUBSTANCE),fat_i
Latvian,latv1249,FAT (ORGANIC SUBSTANCE),fat_h
Lithuanian,lith1251,FAT (ORGANIC SUBSTANCE),fat_h
Lower_Sorbian,lowe1385,FAT (ORGANIC SUBSTANCE),fat_h
Luxembourgish,luxe1243,FAT (ORGANIC SUBSTANCE),fat_b
Macedonian,mace1250,FAT (ORGANIC SUBSTANCE),fat_g
Macedonian,mace1250,FAT (ORGANIC SUBSTANCE),fat_v
Marathi,mara1378,FAT (ORGANIC SUBSTANCE),fat_d
Marwari,marw1260,FAT (ORGANIC SUBSTANCE),fat_0
Modern_Greek,mode1248,FAT (ORGANIC SUBSTANCE),fat_0
Nepali,nepa1254,FAT (ORGANIC SUBSTANCE),fat_m
Norwegian,norw1258,FAT (ORGANIC SUBSTANCE),fat_b
Nuorese,nuor1238,FAT (ORGANIC SUBSTANCE),fat_i
Old_Church_Slavic,chur1257,FAT (ORGANIC SUBSTANCE),fat_h
Old_English,olde1238,FAT (ORGANIC SUBSTANCE),fat_u
Old_High_German,oldh1241,FAT (ORGANIC SUBSTANCE),fat_b
Old_Irish,oldi1246,FAT (ORGANIC SUBSTANCE),fat_0
Old_Irish,oldi1246,FAT (ORGANIC SUBSTANCE),fat_t
Old_Prussian,prus1238,FAT (ORGANIC SUBSTANCE),fat_h
Old_Prussian,prus1238,FAT (ORGANIC SUBSTANCE),fat_x
Old_West_Norse,oldw1240,FAT (ORGANIC SUBSTANCE),fat_b
Old_West_Norse,oldw1240,FAT (ORGANIC SUBSTANCE),fat_u
Oriya,oriy1255,FAT (ORGANIC SUBSTANCE),fat_d
Oriya,oriy1255,FAT (ORGANIC SUBSTANCE),fat_q
Panjabi,panj1256,FAT (ORGANIC SUBSTANCE),fat_d
Pashto,pash1269,FAT (ORGANIC SUBSTANCE),fat_a
Persian,west2369,FAT (ORGANIC SUBSTANCE),fat_d
Polish,poli1260,FAT (ORGANIC SUBSTANCE),fat_h
Portuguese,port1283,FAT (ORGANIC SUBSTANCE),fat_e
Provencal,prov1235,FAT (ORGANIC SUBSTANCE),fat_i
Romani,roma1329,FAT (ORGANIC SUBSTANCE),fat_0
Romani,roma1329,FAT (ORGANIC SUBSTANCE),fat_k
Romanian,megl1237,FAT (ORGANIC SUBSTANCE),fat_i
Romansh,roma1326,FAT (ORGANIC SUBSTANCE),fat_i
Russian,russ1263,FAT (ORGANIC SUBSTANCE),fat_n
