DOCULECT,GLOTTOCODE,CONCEPT,CONCEPTICON_GLOSS,CONCEPTICON_ID,COGNATE
Lahnda,lahn1241,all,ALL,98,all_f
Latin,lati1261,all,ALL,98,all_c
Latin,lati1261,all,ALL,98,all_m
Latvian,latv1249,all,ALL,98,all_h
Lithuanian,lith1251,all,ALL,98,all_h
Lower_Sorbian,lowe1385,all,ALL,98,all_h
Luxembourgish,luxe1243,all,ALL,98,all_a
Macedonian,mace1250,all,ALL,98,all_0
Macedonian,mace1250,all,ALL,98,all_h
Marathi,mara1378,all,ALL,98,all_f
Marwari,marw1260,all,ALL,98,all_f
Modern_Greek,mode1248,all,ALL,98,all_g
Nepali,nepa1254,all,ALL,98,all_f
Norwegian,norw1258,all,ALL,98,all_a
Nuorese,nuor1238,all,ALL,98,all_c
Old_Church_Slavic,chur1257,all,ALL,98,all_h
Old_English,olde1238,all,ALL,98,all_a
Old_High_German,oldh1241,all,ALL,98,all_a
Old_Irish,oldi1246,all,ALL,98,all_g
Old_Prussian,prus1238,all,ALL,98,all_h
Old_West_Norse,oldw1240,all,ALL,98,all_a
Oriya,oriy1255,all,ALL,98,all_f
Panjabi,panj1256,all,ALL,98,all_f
Pashto,pash1269,all,ALL,98,all_w
Persian,west2369,all,ALL,98,all_i
Polish,poli1260,all,ALL,98,all_0
Polish,poli1260,all,ALL,98,all_h
Portuguese,port1283,all,ALL,98,all_c
Provencal,prov1235,all,ALL,98,all_c
Romani,roma1329,all,ALL,98,all_f
Romanian,megl1237,all,ALL,98,all_c
Romansh,roma1326,all,ALL,98,all_c
Russian,russ1263,all,ALL,98,all_h
Sariqoli,sari1246,all,ALL,98,all_y
Scots_Gaelic,scot1245,all,ALL,98,all_g
Serbian,sout1528,all,ALL,98,all_h
Shughni,shug1248,all,ALL,98,all_x
Sindhi,sind1272,all,ALL,98,all_0
Sindhi,sind1272,all,ALL,98,all_f
Singhalese,sinh1246,all,ALL,98,all_0
Slovak,slov1269,all,ALL,98,all_h
Slovenian,slov1268,all,ALL,98,all_0
Slovenian,slov1268,all,ALL,98,all_h
Sogdian,sogd1245,all,ALL,98,all_o
Spanish,stan1288,all,ALL,98,all_c
Swedish,swed1254,all,ALL,98,all_a
Swiss_German,swis1247,all,ALL,98,all_a
Tajik,taji1245,all,ALL,98,all_i
Tajik,taji1245,all,ALL,98,all_q
Tocharian_A,tokh1242,all,ALL,98,all_g
Tocharian_A,tokh1242,all,ALL,98,all_l
Tocharian_B,tokh1243,all,ALL,98,all_g
Tocharian_B,tokh1243,all,ALL,98,all_l
Tosk,alba1268,all,ALL,98,all_b
Ukrainian,ukra1253,all,ALL,98,all_h
Upper_Sorbian,uppe1395,all,ALL,98,all_h
Urdu,urdu1245,all,ALL,98,all_f
Vedic_Sanskrit,sans1269,all,ALL,98,all_h
Wakhi,wakh1245,all,ALL,98,all_p
Walloon,wall1255,all,ALL,98,all_c
Waziri,waci1238,all,ALL,98,all_i
Waziri,waci1238,all,ALL,98,all_v
Welsh,wels1247,all,ALL,98,all_0
Welsh,wels1247,all,ALL,98,all_k
Zazaki,kirm1248,all,ALL,98,all_i
Zazaki,kirm1248,all,ALL,98,all_u
Adapazar,homs1234,and,AND,1577,and_d
Afrikaans,afri1274,and,AND,1577,and_b
Ancient_Greek,anci1242,and,AND,1577,and_j
Ancient_Greek,anci1242,and,AND,1577,and_o
Arumanian,arom1237,and,AND,1577,and_0
Arvanitika,arva1236,and,AND,1577,and_c
Assamese,assa1263,and,AND,1577,and_0
Assamese,assa1263,and,AND,1577,and_a
Avestan,aves1237,and,AND,1577,and_o
Baluchi,east2304,and,AND,1577,and_e
Belarusian,bela1254,and,AND,1577,and_h
Bengali,beng1280,and,AND,1577,and_a
Bengali,beng1280,and,AND,1577,and_p
Bihari,biha1245,and,AND,1577,and_a
Bihari,biha1245,and,AND,1577,and_l
Bihari,biha1245,and,AND,1577,and_p
Breton,bret1244,and,AND,1577,and_g
Bulgarian,bulg1262,and,AND,1577,and_h
Cagliari,sard1257,and,AND,1577,and_f
Catalan,stan1289,and,AND,1577,and_f
Classical_Armenian,clas1256,and,AND,1577,and_d
Cornish,corn1251,and,AND,1577,and_g
Czech,czec1258,and,AND,1577,and_h
Danish,dani1285,and,AND,1577,and_i
Digor_Ossetic,digo1242,and,AND,1577,and_q
Dutch,cent2352,and,AND,1577,and_b
Eastern_Armenian,nucl1235,and,AND,1577,and_0
Eastern_Armenian,nucl1235,and,AND,1577,and_d
English,stan1293,and,AND,1577,and_b
Faroese,faro1244,and,AND,1577,and_i
Flemish,cent2353,and,AND,1577,and_b
French,stan1290,and,AND,1577,and_f
Frisian,fris1239,and,AND,1577,and_b
Friulian,friu1240,and,AND,1577,and_f
German,stan1295,and,AND,1577,and_b
Gothic,goth1244,and,AND,1577,and_0
Gujarati,guja1252,and,AND,1577,and_k
Gujarati,guja1252,and,AND,1577,and_l
Hindi,hind1269,and,AND,1577,and_a
Hittite,hitt1242,and,AND,1577,and_r
Icelandic,icel1247,and,AND,1577,and_i
Irish,iris1253,and,AND,1577,and_g
Italian,ital1282,and,AND,1577,and_f
Kashmiri,kash1277,and,AND,1577,and_l
Ladin,ladi1250,and,AND,1577,and_f
Lahnda,lahn1241,and,AND,1577,and_l
Latin,lati1261,and,AND,1577,and_f
Latvian,latv1249,and,AND,1577,and_n
Lithuanian,lith1251,and,AND,1577,and_m
Lower_Sorbian,lowe1385,and,AND,1577,and_h
Luxembourgish,luxe1243,and,AND,1577,and_b
Macedonian,mace1250,and,AND,1577,and_0
Macedonian,mace1250,and,AND,1577,and_h
Marathi,mara1378,and,AND,1577,and_k
Marwari,marw1260,and,AND,1577,and_0
Marwari,marw1260,and,AND,1577,and_a
Modern_Greek,mode1248,and,AND,1577,and_j
Nepali,nepa1254,and,AND,1577,and_a
Norwegian,norw1258,and,AND,1577,and_i
Nuorese,nuor1238,and,AND,1577,and_f
Old_Church_Slavic,chur1257,and,AND,1577,and_h
Old_English,olde1238,and,AND,1577,and_b
